wave(um), Rp/Rs
0.3538461538461538, 0.09543243243243243
0.3868131868131868, 0.0954054054054054
0.4115384615384615, 0.09537837837837838
0.44120879120879125, 0.09541891891891892
0.4675824175824176, 0.0954054054054054
0.48076923076923084, 0.09564864864864865
0.4906593406593407, 0.09555405405405405
0.5087912087912089, 0.09554054054054054
0.5318681318681319, 0.09552702702702703
0.545054945054945, 0.09556756756756757
0.5565934065934066, 0.09551351351351352
0.5813186813186813, 0.09545945945945947
0.5928571428571429, 0.09544594594594595
0.606043956043956, 0.09554054054054054
0.6208791208791209, 0.09545945945945947
0.6291208791208791, 0.09567567567567568
0.6489010989010989, 0.09551351351351352
0.6686813186813186, 0.09585135135135135
0.6818681318681319, 0.09551351351351352
0.695054945054945, 0.09522972972972973
0.714835164835165, 0.0957027027027027
0.732967032967033, 0.09533783783783784
0.7494505494505495, 0.09558108108108108
0.7725274725274727, 0.09513513513513513
0.7906593406593407, 0.09506756756756757
0.798901098901099, 0.09517567567567568
0.798901098901099, 0.09533783783783784
0.8186813186813188, 0.09505405405405405
0.8500000000000001, 0.09494594594594595
0.8846153846153846, 0.09487837837837838
0.9472527472527473, 0.09471621621621622